Census Division and State,Residential 2015,Residential 2014,Commercial 2015,Commercial 2014,Industrial 2015,Industrial 2014,Transportation 2015,Transportation 2014,All Sectors 2015,All Sectors 2014,Division.State
New England,20.72,17.79,17.46,15.95,14.12,13.27,12.53,9.44,18.44,16.34,Division
Connecticut ,21.82,19.36,17.41,16.58,14.28,14.37,11.09,15.46,19.27,17.69,State
Maine ,16.66,14.62,15.59,14.3,12.27,11.95,--,--,15.32,13.87,State
Massachusetts ,21.67,17.54,17.77,15.85,14.91,13.63,12.74,NM,19,16.19,State
New Hampshire ,19.49,17.18,16.47,15.64,14.1,13.18,--,--,17.44,15.91,State
Rhode Island ,20.17,18.57,20.31,17.51,19.33,14.7,17.98,13.77,20.14,17.56,State
Vermont ,16.53,17.14,14.36,14.53,10.4,10.54,--,--,14.36,14.72,State
Middle Atlantic ,15.86,16.83,13.49,14.63,8.35,8.94,12.48,11.91,13.49,14.41,Division
New Jersey ,15.58,15.67,12.89,13.74,12.77,13.09,9.66,9.64,13.93,14.39,State
New York ,19.76,21.67,15.97,17.49,7.82,8.17,13.25,13.47,16.34,17.84,State
Pennsylvania ,13.01,13.43,9.81,10.47,7.92,8.63,8.91,7.56,10.66,11.17,State
East North Central ,12.21,11.54,9.76,9.82,6.91,7.12,7.18,6.77,9.76,9.62,Division
Illinois ,11.89,10.33,8.74,8.7,6.64,6.9,7.04,6.61,9.22,8.75,State
Indiana ,10.63,10.54,9.63,9.83,6.7,6.89,9.43,10.29,8.83,8.93,State
Michigan ,13.77,14.04,10.43,10.76,7.11,7.67,11.35,13.5,10.57,10.98,State
Ohio ,12.03,11.07,9.86,9.76,6.8,6.84,7.69,6.8,9.86,9.47,State
Wisconsin ,13.85,13.49,10.79,10.83,7.77,7.81,--,--,10.84,10.82,State
West North Central ,10.29,9.95,8.6,8.58,6.52,6.51,7.97,7.77,8.68,8.6,Division
Iowa ,10.7,10.26,8.33,8.15,5.41,5.43,--,--,7.81,7.82,State
Kansas ,11.72,11.13,9.67,9.4,7.45,7.21,--,--,9.81,9.46,State
Minnesota ,11.58,11.53,8.98,9.46,6.84,7.17,9.19,9.68,9.26,9.6,State
Missouri ,9.37,9.01,7.96,7.85,5.62,5.83,6.54,6.09,8.25,8.09,State
Nebraska ,9.69,9.17,8.48,8.24,7.04,6.82,--,--,8.45,8.16,State
North Dakota ,8.71,8.36,8.31,8.26,8.68,7.8,--,--,8.57,8.17,State
South Dakota ,10.24,9.67,8.81,8.65,7.17,7.02,--,--,9.1,8.81,State
South Atlantic ,11.45,11.37,9.81,9.98,6.71,6.79,8.79,8.83,10.07,10.15,Division
Delaware ,13.6,12.39,10.8,12.3,9.33,9.67,--,--,11.76,11.88,State
District of Columbia ,13.89,12.75,12.66,13.15,8.94,17.04,9.5,NM,12.75,13.06,State
Florida ,12.09,11.92,10.24,10.25,8.52,8.08,9.55,9.66,11.06,10.97,State
Georgia ,10.74,10.89,10.21,10.47,6.12,6.57,5.06,5.68,9.55,9.82,State
Maryland ,13.2,13.48,11.37,12.32,9.87,10.29,9.69,9.44,12.23,12.8,State
North Carolina ,10.68,11.03,8.59,9,6.29,6.54,7.89,7.97,9.17,9.6,State
South Carolina ,12.03,11.85,10.34,10.25,6.11,6.08,--,--,9.6,9.58,State
Virginia ,11.01,10.16,8.53,7.89,7.27,6.74,8.37,8.03,9.53,8.86,State
West Virginia ,9.15,9.13,8.06,8.17,5.91,6.07,7.79,8.77,7.85,7.91,State
East South Central ,10.3,10.2,10.3,10.21,5.99,6.16,8.01,14.43,9.03,9.04,Division
Alabama ,11.23,11.25,11.15,10.86,5.96,5.87,--,--,9.36,9.22,State
Kentucky ,9.57,9.53,9.25,9.25,5.53,5.99,--,--,8.08,8.24,State
Mississippi ,11.06,10.62,11.06,10.74,6.69,6.53,--,--,9.66,9.41,State
Tennessee ,9.85,9.78,10.08,10.14,6.14,6.58,8.01,14.43,9.21,9.31,State
West South Central ,10.74,10.32,8.07,8.1,5.68,6.04,5.46,5.37,8.43,8.46,Division
Arkansas ,9.09,8.46,7.91,7.52,5.76,5.67,11.57,NM,7.74,7.4,State
Louisiana ,8.81,8.77,8.75,8.98,5.45,5.47,7.18,10.09,7.56,7.71,State
Oklahoma ,9.46,9.29,7.17,7.91,5.12,5.51,--,--,7.52,7.87,State
Texas ,11.69,11.2,8.1,8.01,5.85,6.4,5.34,5.11,8.88,8.9,State
Mountain ,11.4,10.89,9.44,9.17,6.22,6.07,10.14,10.36,9.04,8.81,Division
Arizona ,11.59,11.22,9.67,9.5,5.97,6.46,7.79,--,9.52,9.53,State
Colorado ,11.68,11.67,9.69,9.65,7.03,6.99,10.61,11.03,9.62,9.64,State
Idaho ,9.41,9.1,7.81,7.49,5.91,5.39,--,--,7.9,7.61,State
Montana ,10.33,9.83,10.07,9.21,5.1,5.7,--,--,8.72,8.56,State
Nevada ,13.47,12.03,9.98,8.97,5.85,5.26,8.77,8.41,9.16,8.31,State
New Mexico ,12.53,11.38,10.39,9.82,6.18,5.61,--,--,9.69,9,State
Utah ,10.47,10.06,8.31,8.27,5.78,5.62,10.05,9.9,8.02,7.86,State
Wyoming ,10.43,9.87,8.71,8.6,6.89,6.63,--,--,7.97,7.74,State
Pacific Contiguous ,13.63,12.77,12.37,11.74,7.92,7.86,10.17,8.51,11.89,11.35,Division
California ,17.18,16.15,14.08,13.23,10.61,10.5,10.2,8.48,14.48,13.72,State
Oregon ,10.44,10.23,8.91,8.92,5.82,6.16,9.17,9.54,8.81,8.93,State
Washington ,8.65,8.67,8.19,8,4.59,4.63,9.12,9.19,7.44,7.47,State
Pacific Noncontiguous ,24.91,28.25,22.52,25.59,21.02,26.3,--,--,22.79,26.62,Division
Alaska ,19.31,18.71,17.35,16.76,14.59,15.91,--,--,17.49,17.26,State
Hawaii ,30.85,37.11,27.82,34.4,23.7,30.45,--,--,27.03,33.64,State
US,12.29,11.92,10.62,10.67,6.88,7.07,10.87,10.18,10.39,10.34,Country
Australia,28.759,,28.759,,,,,,,,Country
Brazil,17.131,,13.43,,,,,,,,Country
California,15.34,,13.41,,,,,,,,Country
Canada,11.85,,7.154,,,,,,,,Country
Chile,18.8,,9.6,,,,,,,,Country
China,8.02,,10,,,,,,,,Country
Czech Republic,19.86,,23.6873,,8.36,,,,,,Country
Denmark,39.05,,34.1943,,9.03,,,,,,Country
France,20.69,,16.7314,,,,,,,,Country
Germany,38.85,,29.0605,,9.09,,,,,,Country
Greece,20.787,,24.2193,,10.9,,,,,,Country
Hawaii,37.34,,34.88,,,,,,,,Country
India,8.1,,12.4,,,,,,,,Country
Indonesia,8.1,,12.1,,,,,,,,Country
Italy,30.9,,30.4437,,10.8,,,,,,Country
Japan,22,,15,,,,,,,,Country
Mexico,9.1,,22.16,,,,,,,,Country
Netherlands,25.92,,20.482,,,,,,,,Country
New Jersey,15.78,,12.78,,,,,,,,Country
Portugal,28.34,,22.9558,,10.29,,,,,,Country
Romania,17.01,,18.3806,,,,,,,,Country
Saudi Arabia,5,,6.933333333,,6.933333333,,,,,,Country
Slovakia,22.3174,,24.4853,,11.07,,,,,,Country
Slovenia,22.038,,18.487,,,,,,,,Country
South Africa,9.49964,,10.787,,,,,,,,Country
South Korea,11.99793,,9.0046167,,,,,,,,Country
Spain,30.45,,24.1395,,11.85,,,,,,Country
Switzerland,24.09,,20.555,,,,,,,,Country
Texas,10.98,,8.16,,,,,,,,Country
Turkey,19.883,,15.2817,,,,,,,,Country
UK,23.9,,22.1578,,12.46,,,,,,Country
